Store,Theme,final_theme_score
한티역,공간,4.38
한티역,서비스,5.74
한티역,청결도,9.57
한티역,집중도,9.79
한티역,가성비,3.82
역삼초교사거리,분위기,1.81
역삼초교사거리,공간,3.14
역삼초교사거리,서비스,4.84
역삼초교사거리,청결도,8.16
역삼초교사거리,집중도,8.86
역삼초교사거리,가성비,6.02
코엑스몰,분위기,1.71
코엑스몰,공간,3.64
코엑스몰,서비스,4.45
코엑스몰,청결도,7.95
코엑스몰,집중도,8.42
코엑스몰,가성비,3.8
가로수길,분위기,2.45
가로수길,공간,4.21
가로수길,서비스,5.77
가로수길,청결도,8.92
가로수길,집중도,9.72
가로수길,가성비,7.71
역삼대로,분위기,3.99
역삼대로,공간,6.93
역삼대로,서비스,6.78
역삼대로,청결도,13.82
역삼대로,집중도,14.57
역삼대로,가성비,12.3
역삼포스코,분위기,2.76
역삼포스코,공간,4.49
역삼포스코,서비스,4.85
역삼포스코,청결도,8.65
역삼포스코,집중도,9.11
역삼포스코,가성비,5.39
강남대로,분위기,1.99
강남대로,공간,3.39
강남대로,서비스,4.78
강남대로,청결도,8.86
강남대로,집중도,9.13
강남대로,가성비,6.61
청담,분위기,3.63
청담,공간,5.16
청담,서비스,6.17
청담,청결도,9.74
청담,집중도,10.92
청담,가성비,7.7
삼성도심공항,분위기,2.67
삼성도심공항,공간,3.83
삼성도심공항,서비스,5.84
삼성도심공항,청결도,10.33
삼성도심공항,집중도,10.56
삼성도심공항,가성비,6.96
삼성교,분위기,2.07
삼성교,공간,3.28
삼성교,서비스,5.13
삼성교,청결도,9.06
삼성교,집중도,9.13
삼성교,가성비,7.49
학동역,분위기,2.0
학동역,공간,3.03
학동역,서비스,4.46
학동역,청결도,7.82
학동역,집중도,8.11
학동역,가성비,5.34
삼성,분위기,5.38
삼성,공간,8.45
삼성,서비스,6.92
삼성,청결도,13.35
삼성,집중도,15.18
삼성,가성비,11.03
큰길타워,분위기,4.78
큰길타워,공간,7.95
큰길타워,서비스,7.89
큰길타워,청결도,13.41
큰길타워,집중도,13.68
큰길타워,가성비,9.83
강남구청역,분위기,2.58
강남구청역,공간,4.79
강남구청역,서비스,4.96
강남구청역,청결도,9.23
강남구청역,집중도,9.54
강남구청역,가성비,7.25
대치역,분위기,6.64
대치역,공간,16.92
대치역,서비스,8.79
대치역,청결도,20.91
대치역,집중도,18.79
대치역,가성비,10.36
포이,분위기,3.17
포이,공간,5.16
포이,서비스,4.82
포이,청결도,7.98
포이,집중도,8.93
포이,가성비,5.86
아크플레이스,분위기,3.27
아크플레이스,공간,3.17
아크플레이스,서비스,5.63
아크플레이스,청결도,9.78
아크플레이스,집중도,11.03
아크플레이스,가성비,6.91
학여울역,분위기,3.12
학여울역,공간,5.35
학여울역,서비스,5.77
학여울역,청결도,9.16
학여울역,집중도,10.61
학여울역,가성비,5.99
선정릉역,분위기,2.38
선정릉역,공간,4.55
선정릉역,서비스,5.33
선정릉역,청결도,9.34
선정릉역,집중도,9.53
선정릉역,가성비,8.12
삼성현대힐,분위기,3.09
삼성현대힐,공간,4.63
삼성현대힐,서비스,5.12
삼성현대힐,청결도,7.99
삼성현대힐,집중도,8.42
삼성현대힐,가성비,4.79
GS타워,분위기,8.07
GS타워,공간,10.45
GS타워,서비스,6.09
GS타워,청결도,9.88
GS타워,집중도,11.5
GS타워,가성비,5.33
역삼럭키,분위기,3.25
역삼럭키,공간,5.95
역삼럭키,서비스,6.14
역삼럭키,청결도,9.77
역삼럭키,집중도,10.64
역삼럭키,가성비,6.84
신압구정,분위기,2.19
신압구정,공간,4.18
신압구정,서비스,5.33
신압구정,청결도,9.88
신압구정,집중도,10.12
신압구정,가성비,6.26
압구정로데오역,분위기,2.06
압구정로데오역,공간,3.46
압구정로데오역,서비스,4.42
압구정로데오역,청결도,7.56
압구정로데오역,집중도,8.0
압구정로데오역,가성비,6.01
르네상스사거리,분위기,3.08
르네상스사거리,공간,4.8
르네상스사거리,서비스,6.14
르네상스사거리,청결도,9.44
르네상스사거리,집중도,10.05
르네상스사거리,가성비,6.66
포스코,분위기,7.71
포스코,공간,11.73
포스코,서비스,7.64
포스코,청결도,16.35
포스코,집중도,18.38
포스코,가성비,11.55
선릉로,분위기,3.36
선릉로,공간,5.61
선릉로,서비스,5.26
선릉로,청결도,10.68
선릉로,집중도,11.86
선릉로,가성비,6.68
논현힐탑,분위기,2.75
논현힐탑,공간,4.59
논현힐탑,서비스,6.19
논현힐탑,청결도,10.24
논현힐탑,집중도,10.88
논현힐탑,가성비,7.25
도산가로수길,분위기,2.21
도산가로수길,공간,3.63
도산가로수길,서비스,5.39
도산가로수길,청결도,8.39
도산가로수길,집중도,8.76
도산가로수길,가성비,7.06
매봉역,분위기,23.29
매봉역,공간,41.85
매봉역,서비스,29.62
매봉역,청결도,271.26
매봉역,집중도,187.58
매봉역,가성비,130.53
대치삼성,분위기,3.18
대치삼성,공간,4.14
대치삼성,서비스,6.41
대치삼성,청결도,8.91
대치삼성,집중도,10.32
대치삼성,가성비,1.26
언주역,분위기,3.77
언주역,공간,3.05
언주역,서비스,7.39
언주역,청결도,10.18
언주역,집중도,11.89
언주역,가성비,13.97
삼성역,분위기,3.32
삼성역,공간,3.7
삼성역,서비스,5.77
삼성역,청결도,11.82
삼성역,집중도,11.53
삼성역,가성비,9.47
테헤란로아남타워,분위기,1.7
테헤란로아남타워,공간,2.58
테헤란로아남타워,서비스,4.79
테헤란로아남타워,청결도,7.37
테헤란로아남타워,집중도,7.66
테헤란로아남타워,가성비,4.78
강남논현,분위기,9.08
강남논현,공간,17.28
강남논현,서비스,9.01
강남논현,청결도,16.1
강남논현,집중도,17.37
강남논현,가성비,11.68
삼성동,분위기,2.85
삼성동,공간,3.99
삼성동,서비스,6.73
삼성동,청결도,9.32
삼성동,집중도,10.33
삼성동,가성비,9.1
청담역,분위기,7.54
청담역,공간,7.65
청담역,서비스,11.05
청담역,청결도,31.97
청담역,집중도,29.58
청담역,가성비,18.8
압구정현대아파트,분위기,21.93
압구정현대아파트,공간,21.86
압구정현대아파트,서비스,27.22
압구정현대아파트,청결도,52.68
압구정현대아파트,집중도,55.09
압구정현대아파트,가성비,31.89
강남청담빌딩,분위기,38.26
강남청담빌딩,공간,31.25
강남청담빌딩,서비스,57.57
강남청담빌딩,청결도,127.39
강남청담빌딩,집중도,150.39
강남청담빌딩,가성비,79.82
역삼이마트,분위기,62.81
역삼이마트,공간,67.84
역삼이마트,서비스,24.04
역삼이마트,청결도,68.48
역삼이마트,집중도,76.83
역삼이마트,가성비,13.34
강남세곡DT,분위기,32.98
강남세곡DT,공간,23.15
강남세곡DT,서비스,22.33
강남세곡DT,청결도,50.0
강남세곡DT,집중도,70.12
강남세곡DT,가성비,23.74
미아뉴타운,분위기,2.03
미아뉴타운,공간,4.33
미아뉴타운,서비스,4.33
미아뉴타운,청결도,7.33
