Store,Theme,final_theme_score
도곡역,편의성,13.55
서울세관사거리,분위기,1.02
서울세관사거리,환경,5.87
서울세관사거리,프라이버시,5.42
서울세관사거리,집중도,9.65
서울세관사거리,개인 시간,8.69
서울세관사거리,편의성,8.9
한티역,분위기,1.43
한티역,환경,5.95
한티역,프라이버시,7.15
한티역,집중도,9.79
한티역,개인 시간,14.62
한티역,편의성,8.07
역삼초교사거리,분위기,0.23
역삼초교사거리,환경,4.72
역삼초교사거리,프라이버시,5.28
역삼초교사거리,집중도,8.86
역삼초교사거리,개인 시간,7.97
역삼초교사거리,편의성,7.78
코엑스몰,분위기,0.34
코엑스몰,환경,4.93
코엑스몰,프라이버시,5.13
코엑스몰,집중도,8.42
코엑스몰,개인 시간,10.43
코엑스몰,편의성,7.37
가로수길,분위기,0.93
가로수길,환경,6.56
가로수길,프라이버시,5.59
가로수길,집중도,9.72
가로수길,개인 시간,8.94
가로수길,편의성,9.15
역삼대로,분위기,2.53
역삼대로,환경,8.19
역삼대로,프라이버시,11.03
역삼대로,집중도,14.57
역삼대로,개인 시간,22.56
역삼대로,편의성,17.45
역삼포스코,분위기,1.28
역삼포스코,환경,5.57
역삼포스코,프라이버시,6.84
역삼포스코,집중도,9.11
역삼포스코,개인 시간,12.28
역삼포스코,편의성,9.28
강남대로,분위기,0.44
강남대로,환경,4.88
강남대로,프라이버시,5.6
강남대로,집중도,9.13
강남대로,개인 시간,12.47
강남대로,편의성,10.65
청담,분위기,2.2
청담,환경,6.7
청담,프라이버시,7.47
청담,집중도,10.92
청담,개인 시간,10.41
청담,편의성,9.6
삼성도심공항,분위기,1.18
삼성도심공항,환경,5.81
삼성도심공항,프라이버시,6.41
삼성도심공항,집중도,10.56
삼성도심공항,개인 시간,19.35
삼성도심공항,편의성,14.38
삼성교,분위기,0.55
삼성교,환경,5.13
삼성교,프라이버시,5.24
삼성교,집중도,9.13
삼성교,개인 시간,18.33
삼성교,편의성,14.35
학동역,분위기,0.44
학동역,환경,4.3
학동역,프라이버시,4.69
학동역,집중도,8.11
학동역,개인 시간,9.6
학동역,편의성,8.85
삼성,분위기,3.93
삼성,환경,9.54
