Store,Theme,final_theme_score
서울세관사거리,공간,6.37
서울세관사거리,프라이버시,3.46
서울세관사거리,서비스,6.14
서울세관사거리,단체모임,5.57
서울세관사거리,가성비,9.82
한티역,분위기,3.15
한티역,공간,7.34
한티역,프라이버시,6.75
한티역,서비스,6.32
한티역,단체모임,6.03
한티역,가성비,4.75
역삼초교사거리,분위기,3.13
역삼초교사거리,공간,5.67
역삼초교사거리,프라이버시,4.24
역삼초교사거리,서비스,5.27
역삼초교사거리,단체모임,4.37
역삼초교사거리,가성비,7.08
코엑스몰,분위기,3.88
코엑스몰,공간,5.62
코엑스몰,프라이버시,4.36
코엑스몰,서비스,4.8
코엑스몰,단체모임,4.58
코엑스몰,가성비,4.53
가로수길,분위기,3.32
가로수길,공간,5.85
가로수길,프라이버시,4.83
가로수길,서비스,6.36
가로수길,단체모임,5.3
가로수길,가성비,9.09
역삼대로,분위기,5.56
역삼대로,공간,11.02
역삼대로,프라이버시,15.59
역삼대로,서비스,7.57
역삼대로,단체모임,7.83
역삼대로,가성비,15.68
역삼포스코,분위기,4.06
역삼포스코,공간,7.67
역삼포스코,프라이버시,6.13
역삼포스코,서비스,5.27
역삼포스코,단체모임,6.22
역삼포스코,가성비,6.29
강남대로,분위기,3.32
강남대로,공간,5.75
강남대로,프라이버시,5.46
강남대로,서비스,5.21
강남대로,단체모임,4.63
강남대로,가성비,7.6
청담,분위기,4.64
청담,공간,7.92
청담,프라이버시,7.52
청담,서비스,6.85
청담,단체모임,7.38
청담,가성비,9.22
삼성도심공항,분위기,4.17
삼성도심공항,공간,6.73
삼성도심공항,프라이버시,6.34
삼성도심공항,서비스,6.44
삼성도심공항,단체모임,5.74
삼성도심공항,가성비,7.95
삼성교,분위기,3.61
삼성교,공간,5.68
삼성교,프라이버시,4.28
삼성교,서비스,5.59
삼성교,단체모임,4.87
삼성교,가성비,9.25
학동역,분위기,2.89
학동역,공간,5.67
학동역,프라이버시,2.59
학동역,서비스,4.83
학동역,단체모임,4.74
학동역,가성비,6.03
삼성,분위기,8.21
삼성,공간,12.61
삼성,프라이버시,12.82
삼성,서비스,7.72
삼성,단체모임,10.18
삼성,가성비,12.92
큰길타워,분위기,5.85
큰길타워,공간,12.11
큰길타워,프라이버시,19.89
큰길타워,서비스,8.84
큰길타워,단체모임,9.16
큰길타워,가성비,11.79
강남구청역,분위기,3.16
강남구청역,공간,8.11
강남구청역,프라이버시,6.32
강남구청역,서비스,5.39
강남구청역,단체모임,5.73
강남구청역,가성비,8.27
대치역,분위기,6.91
대치역,공간,26.88
대치역,프라이버시,26.06
대치역,서비스,9.95
대치역,단체모임,13.39
대치역,가성비,12.37
포이,분위기,4.18
포이,공간,9.56
포이,프라이버시,4.47
포이,서비스,5.23
포이,단체모임,7.33
포이,가성비,6.99
아크플레이스,분위기,5.27
아크플레이스,공간,8.13
아크플레이스,프라이버시,5.52
아크플레이스,서비스,6.17
아크플레이스,단체모임,7.31
아크플레이스,가성비,8.33
학여울역,분위기,3.86
학여울역,공간,8.78
학여울역,프라이버시,7.8
학여울역,서비스,6.35
학여울역,단체모임,6.53
학여울역,가성비,7.35
선정릉역,분위기,2.99
선정릉역,공간,6.76
선정릉역,프라이버시,5.84
선정릉역,서비스,5.85
선정릉역,단체모임,4.84
선정릉역,가성비,9.95
삼성현대힐,분위기,4.56
삼성현대힐,공간,7.78
삼성현대힐,프라이버시,9.17
삼성현대힐,서비스,5.57
삼성현대힐,단체모임,6.21
삼성현대힐,가성비,5.75
GS타워,분위기,11.16
GS타워,공간,17.7
GS타워,프라이버시,22.96
GS타워,서비스,6.71
GS타워,단체모임,14.04
GS타워,가성비,6.92
역삼럭키,분위기,4.07
역삼럭키,공간,7.88
역삼럭키,프라이버시,7.11
역삼럭키,서비스,6.77
역삼럭키,단체모임,6.71
역삼럭키,가성비,8.06
신압구정,분위기,3.4
신압구정,공간,6.11
신압구정,프라이버시,4.64
신압구정,서비스,5.85
신압구정,단체모임,5.07
신압구정,가성비,7.31
압구정로데오역,분위기,2.72
압구정로데오역,공간,5.38
압구정로데오역,프라이버시,5.09
압구정로데오역,서비스,4.78
압구정로데오역,단체모임,4.58
압구정로데오역,가성비,6.92
르네상스사거리,분위기,4.02
르네상스사거리,공간,7.68
르네상스사거리,프라이버시,5.46
르네상스사거리,서비스,6.76
르네상스사거리,단체모임,6.75
르네상스사거리,가성비,8.02
포스코,분위기,11.01
포스코,공간,20.97
