카테고리,메뉴,이미지_URL,칼로리(Kcal),당류(g),단백질(g),나트륨(mg),포화지방(g),카페인(mg)
기타 제조 음료,딸기 콜드폼 딸기 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2023/11/[9200000004951]_20231102101647442.jpg,235.0,41.0,6.0,110.0,2.0,0.0
기타 제조 음료,스타벅스 슬래머,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003659]_20210428134252131.jpg,235.0,55.0,0.0,0.0,0.0,0.0
기타 제조 음료,스팀 우유,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[17]_20210426095334934.jpg,215.0,18.0,13.0,173.0,7.0,0.0
기타 제조 음료,우유,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[18]_20210426095514018.jpg,240.0,18.0,12.0,200.0,8.0,0.0
기타 제조 음료,제주팔삭 셔벗,https://image.istarbucks.co.kr/upload/store/skuimg/2024/09/[9200000004957]_20240911104427249.jpg,95.0,22.0,0.0,5.0,0.0,0.0
스타벅스 주스(병음료),ABC 클렌즈 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2024/03/[9300000004346]_20240328133443928.jpg,90.0,16.0,1.0,45.0,0.1,0.0
스타벅스 주스(병음료),레몬 진저 클렌즈 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2024/03/[9300000004347]_20240328133658258.jpg,100.0,16.0,1.0,0.0,0.1,0.0
스타벅스 주스(병음료),스퀴즈드 오렌지 주스 100ML,https://image.istarbucks.co.kr/upload/store/skuimg/2024/09/[9300000005406]_20240905084511440.jpg,50.0,9.0,1.0,0.0,0.0,0.0
스타벅스 주스(병음료),케일 클렌즈 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2024/03/[9300000004348]_20240328133830383.jpg,90.0,15.0,1.0,15.0,0.2,0.0
스타벅스 주스(병음료),딸기주스 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2024/09/[5210008070]_20240923184905035.jpg,110.0,25.0,0.0,30.0,0.0,0.0
스타벅스 주스(병음료),망고주스 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2024/10/[5210008061]_20241031123748556.jpg,117.0,23.0,1.0,15.0,0.0,0.0
스타벅스 주스(병음료),수박 주스 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2024/09/[9300000005405]_20240905084714529.jpg,100.0,20.0,1.0,15.0,0.0,0.0
스타벅스 주스(병음료),유기농 오렌지 100% 주스 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2024/09/[9300000003771]_20240923184306693.jpg,95.0,20.0,2.0,5.0,0.0,0.0
스타벅스 주스(병음료),유기농 오렌지 100% 주스 591ML,https://image.istarbucks.co.kr/upload/store/skuimg/2021/10/[9300000003772]_20211020095105008.jpg,290.0,62.0,6.0,10.0,0.6,0.0
스타벅스 주스(병음료),케일&사과주스 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5210008072]_20210426100712780.jpg,105.0,26.0,0.0,25.0,0.0,0.0
스타벅스 주스(병음료),한라봉주스 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2024/10/[5210008055]_20241031123524702.jpg,88.0,20.0,1.0,10.0,0.0,0.0
스타벅스 주스(병음료),햇사과 주스 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2024/09/[9300000002565]_20240923184651121.jpg,113.0,27.0,0.2,10.0,0.0,0.0
스타벅스 주스(병음료),햇사과 주스 591ML,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/[9300000004407]_20221027102828231.jpg,360.0,84.0,1.3,20.0,0.0,0.0
스타벅스 주스(병음료),딸기 가득 요거트 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2021/10/[9300000003775]_20211020094208342.jpg,155.0,21.0,4.0,50.0,3.2,0.0
스타벅스 주스(병음료),블루베리 요거트 190ML,https://image.istarbucks.co.kr/upload/store/skuimg/2024/09/[5210008063]_20240923185114500.jpg,155.0,18.0,5.0,70.0,3.6,0.0
