카테고리,메뉴,이미지_URL,칼로리(Kcal),당류(g),단백질(g),나트륨(mg),포화지방(g),카페인(mg)
에스프레소,아이스 스타벅스 돌체 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[128695]_20210426092031969.jpg,190.0,28.0,10.0,140.0,2.0,150.0
에스프레소,아이스 인절미 크림 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2024/05/[9200000005285]_20240509131125335.jpg,455.0,43.0,9.0,180.0,16.0,75.0
에스프레소,아이스 카페 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110569]_20210415143035989.jpg,110.0,8.0,6.0,75.0,3.5,75.0
에스프레소,인절미 크림 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2024/05/[9200000005284]_20240509131037171.jpg,530.0,49.0,12.0,250.0,19.0,75.0
에스프레소,카페 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[41]_20210415133833725.jpg,180.0,13.0,10.0,115.0,5.0,75.0
에스프레소,프렌치 바닐라 라떼,https://image.istarbucks.co.kr/upload/store/skuimg/2024/08/[9200000005292]_20240801084836627.jpg,205.0,24.0,3.0,130.0,8.0,170.0
에스프레소,아이스 카페 모카,https://image.istarbucks.co.kr/upload/store/skuimg/2024/12/[110566]_20241230125324879.jpg,250.0,21.0,7.0,70.0,8.0,95.0
에스프레소,아이스 화이트 초콜릿 모카,https://image.istarbucks.co.kr/upload/store/skuimg/2024/12/[110572]_20241230125516245.jpg,300.0,31.0,8.0,150.0,10.0,75.0
에스프레소,카페 모카,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[46]_20210415134438165.jpg,290.0,25.0,10.0,105.0,9.0,95.0
에스프레소,클래식 민트 모카,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/[9200000004313]_20221005145156959.jpg,335.0,43.0,4.0,200.0,0.7,210.0
에스프레소,화이트 초콜릿 모카,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[128192]_20210415155639126.jpg,350.0,37.0,11.0,200.0,10.0,75.0
에스프레소,아이스 플랫 화이트,https://image.istarbucks.co.kr/upload/store/skuimg/2024/03/[9200000005181]_20240326103832835.jpg,120.0,9.0,6.0,90.0,3.5,130.0
에스프레소,플랫 화이트,https://image.istarbucks.co.kr/upload/store/skuimg/2024/03/[9200000005178]_20240326103727795.jpg,170.0,13.0,8.0,130.0,5.0,130.0
에스프레소,바닐라 스타벅스 더블 샷,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110612]_20210415133425373.jpg,125.0,14.0,2.0,30.0,4.5,150.0
에스프레소,블론드 바닐라 더블 샷 마키아또,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002950]_20210426150654756.jpg,315.0,31.0,8.0,130.0,12.0,170.0
에스프레소,사케라또 아포가토,https://image.istarbucks.co.kr/upload/store/skuimg/2021/03/[9200000003505]_20210322093241535.jpg,290.0,30.0,4.0,70.0,10.0,210.0
에스프레소,스파클링 시트러스 에스프레소,https://image.istarbucks.co.kr/upload/store/skuimg/2021/03/[9200000003506]_20210322093317854.jpg,65.0,15.0,0.0,5.0,0.0,105.0
에스프레소,아이스 블론드 바닐라 더블 샷 마키아또,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002953]_20210427132718157.jpg,195.0,22.0,5.0,65.0,6.0,170.0
에스프레소,에스프레소,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[20]_20210415144112678.jpg,5.0,0.0,0.0,0.0,0.0,75.0
에스프레소,에스프레소 플라이트,https://image.istarbucks.co.kr/upload/store/skuimg/2024/09/[9900000001604]_20240909104819181.jpg,,,,,,
에스프레소,커피 스타벅스 더블 샷,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110611]_20210415132507539.jpg,125.0,14.0,2.0,30.0,4.5,150.0
에스프레소,클래식 아포가토,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000001631]_20210225090916684.jpg,240.0,18.0,4.0,70.0,10.0,210.0
에스프레소,헤이즐넛 스타벅스 더블 샷,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[110614]_20210415132333109.jpg,125.0,14.0,2.0,30.0,4.5,150.0
프라푸치노,인절미 제주 말차 크림 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2025/01/[9200000005782]_20250110103443195.jpg,442.0,50.0,8.0,330.0,11.0,37.0
프라푸치노,더블 에스프레소 칩 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2024/12/[9200000002760]_20241230130417719.jpg,225.0,18.0,4.0,170.0,13.0,130.0
프라푸치노,에스프레소 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[168007]_20210415144337428.jpg,110.0,17.0,2.0,150.0,1.1,120.0
프라푸치노,자바 칩 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2024/12/[168016]_20241230125952201.jpg,285.0,30.0,5.0,180.0,6.0,100.0
프라푸치노,카라멜 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2024/12/[168010]_20241230140412038.jpg,225.0,24.0,3.0,180.0,8.0,85.0
프라푸치노,딸기 글레이즈드 크림 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2024/06/[9200000005369]_20240614143554454.jpg,315.0,37.0,5.0,250.0,9.0,5.0
프라푸치노,송당R 자몽 망고 코코 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2024/06/[9200000005367]_20240612090850191.jpg,365.0,49.0,2.0,320.0,11.0,0.0
프라푸치노,제주 까망 크림 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2020/09/[9200000002088]_20200921171733532.jpg,505.0,48.0,11.0,380.0,8.0,0.0
프라푸치노,제주 말차 크림 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2024/12/[9200000002502]_20241230130243924.jpg,215.0,20.0,5.0,170.0,7.0,60.0
프라푸치노,제주 쑥떡 크림 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2022/03/[9200000002090]_20220329144732789.jpg,410.0,43.0,8.0,280.0,10.0,0.0
프라푸치노,초콜릿 크림 칩 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2024/12/[168066]_20241230140550488.jpg,275.0,27.0,6.0,180.0,7.0,10.0
프라푸치노,화이트 타이거 프라푸치노,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002403]_20210419131548656.jpg,385.0,50.0,6.0,240.0,7.0,0.0
블렌디드,망고 패션 티 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2023/02/[9200000004512]_20230207150514347.jpg,150.0,29.0,2.0,105.0,0.0,0.0
블렌디드,북한산 레몬 얼 그레이 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2024/12/[9200000004716]_20241206095107879.jpg,110.0,25.0,0.0,10.0,0.1,8.0
블렌디드,여수 바다 유자 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9200000004870]_20230905110300360.jpg,145.0,34.0,0.0,10.0,0.0,0.0
블렌디드,한라봉 천혜향 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2024/07/[9200000005377]_20240701133052473.jpg,260.0,43.0,1.0,25.0,0.0,0.0
블렌디드,딸기 딜라이트 요거트 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003276]_20210416154001403.jpg,275.0,36.0,9.0,105.0,3.9,0.0
블렌디드,망고 바나나 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[169001]_20210419130701792.jpg,290.0,45.0,4.0,130.0,0.9,0.0
블렌디드,스타벅스 판다 쿠키 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2024/07/[9200000005379]_20240709130615114.jpg,310.0,47.0,8.0,220.0,8.0,0.0
블렌디드,피치 망고 블렌디드,https://image.istarbucks.co.kr/upload/store/skuimg/2024/05/[9200000004780]_20240527130611426.jpg,225.0,32.0,1.0,100.0,0.0,0.0
스타벅스 리프레셔,딸기 아사이 레모네이드 스타벅스 리프레셔,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004753]_20230720103623021.jpg,105.0,24.0,1.0,0.0,0.0,30.0
스타벅스 리프레셔,딸기 아사이 레모네이드 스타벅스 리프레셔(Trenta),https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004753]_20230720103623021.jpg,265.0,62.0,1.0,0.0,0.0,73.0
스타벅스 피지오,라이트 핑크 자몽 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2024/08/[9200000005168]_20240812152235363.jpg,70.0,17.0,0.0,0.0,0.0,0.0
스타벅스 피지오,리버 피치 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2024/05/[9200000005283]_20240509131233446.jpg,155.0,22.0,0.0,45.0,0.0,0.0
스타벅스 피지오,여수 바다 자몽 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2023/09/[9200000004751]_20230907153225204.jpg,250.0,45.0,1.0,105.0,0.0,0.0
스타벅스 피지오,의암호의 초록빛 자몽 피지오,https://image.istarbucks.co.kr/upload/store/skuimg/2024/10/[9200000005588]_20241017130009134.jpg,130.0,28.0,0.0,45.0,0.0,0.0
