,이름,lat,long
0,역삼아레나빌딩,37.501087,127.043069
1,논현역사거리,37.510178,127.022223
2,신사역성일빌딩,37.5139309,127.0206057
3,국기원사거리,37.499517,127.031495
4,대치재경빌딩,37.494668,127.062583
5,봉은사역,37.515000,127.063196
6,압구정윤성빌딩,37.5227934,127.0286009
7,코엑스별마당,37.510150,127.060275
8,삼성역섬유센터R,37.507750,127.060651
9,압구정R,37.5273669,127.033061
10,수서역R,37.488008,127.102650
11,양재강남빌딩R,37.485192,127.036685
12,선릉동신빌딩R,37.505321,127.050409
13,봉은사로선정릉,37.51131683405367,127.04846338902248
14,강남오거리,37.502117,127.026672
15,스타필드코엑스몰R,37.50999,127.061455
16,강남구청정문,37.518181,127.045995
17,도곡공원,37.492805,127.041309
18,강남R,37.497711,127.028439
19,대치은마사거리,37.498973,127.060172
20,청담영동대로,37.522156,127.056449
21,압구정,37.526283,127.02956
22,신사가로수,37.521933,127.022521
23,청담스타R,37.525216,127.041827
24,강남우성,37.492396,127.03091
25,학동사거리,37.52236449999999,127.03795430000002
26,대치사거리,37.503331,127.058817
27,포스코사거리,37.5075307,127.05742710000004
28,을지병원사거리,37.5191632,127.0286446
29,신사역,37.5162021,127.0207428
30,도곡역,37.492167,127.057398
31,서울세관사거리,37.514887,127.035653
32,청담사거리,37.5236351,127.04686509999999
33,한티역,37.496801,127.055055
34,역삼초교사거리,37.4941059,127.03299730000003
35,코엑스몰,37.513715,127.059245
36,가로수길,37.5231593,127.02162499999997
37,역삼대로,37.501623,127.039375
38,역삼포스코,37.499721,127.033582
39,강남대로,37.50314,127.025546
40,청담,37.5243631,127.05155990000003
41,삼성도심공항,37.5097863,127.05791339999996
42,삼성교,37.507794,127.06517
43,학동역,37.51464884,127.0307302
44,대치,37.49966175,127.0622171
45,신세계푸드마켓도곡,37.490298,127.054895
46,삼성,37.50689645929321,127.05571872453659
47,선릉세화빌딩,37.50377562,127.051196
48,압구정역,37.52674095,127.0281105
49,압구정로,37.52680046,127.0347174
50,구역삼사거리,37.49592355,127.0388645
51,큰길타워,37.50236693,127.0407
52,강남구청역,37.5165849,127.04124330000002
53,대치역,37.493554,127.061874
54,포이,37.47781106,127.0451411
55,아크플레이스,37.49971982,127.0349084
56,학여울역,37.49803646,127.0684943
57,선정릉역,37.51075489999999,127.04455970000003
58,삼성현대힐,37.51350444312708,127.05273753314826
59,GS타워,37.5018592,127.03727759999992
60,압구정미소,37.523912710310014,127.02807214378778
61,선릉역,37.50393894,127.0485135
62,코엑스사거리,37.515351,127.060109
63,역삼럭키,37.492209,127.039389
64,신압구정,37.528115,127.036441
65,아크로힐스논현,37.509013311862645,127.0403523996554
66,강남비젼타워,37.4964557,127.02968850000002
67,압구정로데오역,37.526549,127.040437
68,르네상스사거리,37.502721,127.044308
69,포스코,37.50576457783876,127.05804488086114
70,선릉로,37.50498118534617,127.0468080752464
71,논현힐탑,37.51159269029387,127.03219311069766
72,도산가로수길,37.51736229999999,127.02329570000006
73,매봉역,37.4859095,127.0452879
74,대치한티,37.4984818,127.052066
75,개포동,37.4828551359882,127.0607152444621
76,수서역사거리,37.4873267937748,127.103140081887
77,코엑스아셈타워,37.513019,127.059838
78,센터필드R,37.50369465391196,127.04172081609172
79,도산사거리,37.51966,127.0341
80,강남세곡,37.467274319644,127.099929726
81,대치삼성,37.500313,127.066961
82,언주역,37.507969,127.036562
83,강남역신분당역사,37.4970572543978,127.028180714381
84,삼성역,37.509206962541256,127.06560851480327
85,테헤란로아남타워,37.50383,127.04487
86,강남논현,37.5078978596254,127.023338614644
87,삼성동,37.510843366121534,127.06363342044263
88,압구정역사3번출구,37.52575281715033,127.02886190444627
89,청담역,37.5194407323478,127.049552661542
90,압구정현대아파트,37.52521971236768,127.0256601858147
91,강남청담빌딩,37.517887,127.041375
92,역삼이마트,37.499367,127.048425
93,케이스퀘어강남,37.4991914625768,127.028204360257
94,강남세곡DT,37.466993809277,127.118330806807
95,미아뉴타운,37.618319,127.021072
96,강북구청사거리,37.639987861152015,127.0274331199793
97,미아사거리역,37.611831247629375,127.03058552434908
98,수유역,37.6380167,127.02613500000007
99,미아역,37.626148,127.026578
100,수유역5번출구,37.636722675028174,127.02332208832509
101,파라스파라서울,37.66419549576315,127.01040728594249
102,발산역사거리,37.558509,126.835096
103,마곡역,37.559611,126.826298
104,우장산역,37.549510038803994,126.83606164803061
105,마곡사이언스타워R,37.5605261,126.833887
106,방화DT,37.574456834773024,126.81648812379821
107,마곡나루역,37.56813,126.82614
108,마곡GMG,37.560487,126.829667
109,가양역,37.561640,126.853327
110,화곡DT,37.5350107501795,126.86318804786
111,양천향교역,37.566964,126.840731
112,화곡동,37.540619019726435,126.83738800870792
113,등촌,37.5582043,126.84433919999992
114,염창역,37.547359,126.874436
115,발산역,37.560301448004914,126.83913349547197
116,까치산역,37.5323235082489,126.84612332664443
117,염창대로,37.5485479128966,126.878259347206
118,발산역5번출구,37.5579224739977,126.84054030692
119,화곡역8번출구,37.54227920628,126.839299954553
120,강서우장산,37.54661114997271,126.83611326062484
121,등촌대로,37.5504921817371,126.8665095756118
122,가양역사거리,37.56007,126.855372
123,내발산,37.55467,126.83672
124,마곡웰튼,37.5671428910102,126.825315150636
125,김포공항DT,37.56627942080141,126.8060664470359
126,강서NC,37.560088,126.840534
127,김포공항국제선,37.56604490355177,126.80050380500948
128,마곡나루공원,37.567007,126.822246
129,송정역,37.56105570786667,126.81150987871888
130,강서구청사거리,37.5549266,126.8523133
131,낙성대역,37.477760129939064,126.96114261955485
132,관악서울대입구R,37.47932480888598,126.95270199623682
133,신림DT,37.480935,126.908407
134,서울대역,37.48166265091104,126.9520164977362
135,낙성대DT,37.476243169019526,126.96511724631266
136,사당,37.4760559,126.980928
137,보라매대교,37.491449,126.925432
138,신림,37.48609493,126.9291602
139,신림타임스트림,37.48407101920536,126.93025831103377
140,서울대입구역,37.481207389699065,126.95140060487287
141,서울대입구역8번출구,37.4812061,126.9536942
142,봉천역,37.4820375340064,126.942287792538
143,봉천현대시장,37.48665266827689,126.94829614696478
144,건국대,37.5415592,127.0711244
145,어린이대공원역,37.551946,127.076404
146,아차산역,37.55062116262961,127.09003207951664
147,올림픽대교북단,37.541129,127.09524
148,구의DT,37.54529838924125,127.0871967283424
149,자양사거리,37.5371158,127.0825821
150,군자역,37.557026068940765,127.07910984029934
151,광나루,37.5473711178786,127.106048727555
152,건대스타시티,37.538544,127.073009
153,건대입구,37.5406604,127.07072249999999
154,구의역,37.53698,127.084015
155,광장,37.54261257747251,127.09964053100874
156,건국클래식,37.538466,127.071271
157,건대후문,37.54603056145237,127.07381934747977
158,중곡역,37.565057005115804,127.08445231025851
159,자양이마트,37.537817,127.072597
160,자양역,37.532684640479,127.067878503557
161,화양삼거리,37.54774853077512,127.07126924540047
162,군자사거리,37.55769507399991,127.079087912222
163,금천구청역,37.45588672536701,126.89568245942294
164,가산에스케이,37.48082408602027,126.88100079322535
165,독산사거리,37.47158263368701,126.89860551804541
166,금천시흥,37.44875938266414,126.90323875981919
167,가산디지털단지역,37.48135375445197,126.88358906045958
168,금천독산,37.46957081,126.89565779
169,가산디지털,37.479970085901,126.882507193785
170,마리오아울렛,37.47860691180926,126.88484825777416
171,가산브이타워,37.47700409645337,126.88355058577785
172,독산역,37.46770966619833,126.88767404102677
173,가산퍼블릭,37.47574363470601,126.88684803652211
174,가산현대아울렛,37.477680443,126.888840553
175,가산케이에스,37.48089352069766,126.88515566597013
176,가산어반워크,37.4800231711237,126.878250987906
177,가산그레이트,37.47955080325422,126.88727191931528
178,월계역,37.6295,127.0574
179,월계트레이더스,37.62758407402858,127.06177585602872
180,상계초교사거리,37.656776,127.066442
181,공릉DT,37.6206884,127.0743116
182,노원마들역,37.6610890700127,127.05801543641189
183,공릉역,37.626337,127.072252
184,은행사거리,37.6505261052442,127.07599353308129
185,노원KT,37.654562,127.063617
186,광운대,37.62317424708698,127.06080652927419
187,중계역,37.64817,127.062244
188,노원역,37.654751,127.060034
189,월계이마트,37.627149177269075,127.06210118175261
190,태릉입구역DT,37.61942,127.07932
191,노원상계,37.651535,127.061026
192,노원구청,37.6539896,127.057755
193,창동이마트,37.651658491435505,127.04686598939148
194,쌍문역,37.648456,127.034783
195,도봉구청,37.6695034764443,127.04603799266
196,쌍문도봉로,37.6453516,127.0331011
197,도봉로DT,37.6611805929041,127.041630065957
198,방학역,37.6653125,127.0433125
199,창동역,37.6545021055909,127.049672533607
200,노량진동,37.513068,126.946537
201,남성역,37.4841198,126.9725739
202,상도역,37.5031936,126.9484581
203,보라매공원R,37.49191014040362,126.92354836012281
204,이수자이,37.484414,126.980047
205,노량진역,37.51339,126.940879
206,신대방삼거리역,37.50034872148687,126.93198758957686
207,중앙대,37.506933,126.958125
208,숭실대입구역,37.4968346,126.95271230000003
209,숭실대,37.49538073,126.9548891
210,사당역,37.47849216,126.9813456
211,서강대프라자,37.551073,126.943096
212,상암YTN,37.579314265546294,126.89221044590168
213,마포용강동,37.541186,126.942209
214,홍대입구역사거리R,37.554636,126.92036
215,마포경찰서후문,37.550800,126.953432
216,공덕,37.545913,126.952956
217,합정폴리스R,37.5509,126.9134
218,홍대공항철도역,37.557491,126.925146
219,마포염리,37.543876,126.94768
220,서강광흥창역,37.549377,126.931661
221,합정,37.54997888236882,126.91254036891405
222,서강대흥역,37.548178,126.941576
223,서교동사거리,37.553376,126.918564
224,상암사보이시티,37.581462210224295,126.88878549621795
225,신촌오거리,37.555137,126.934694
226,상암디지털큐브,37.57613521806125,126.88892643460335
227,상수역,37.5474817,126.92321579999998
228,공덕오거리,37.5424641,126.95057730000008
229,서강대,37.5524584,126.9378262
230,상암MBC,37.58094223885055,126.89158543354138
231,홍대역,37.557175,126.923654
232,동교,37.556928,126.919819
233,애오개역,37.5523207784261,126.955694482104
234,상암DMC,37.57770031657981,126.8909363638002
235,마포일진빌딩,37.54043451,126.9463168
236,마포아크로,37.5413348427548,126.948866602054
237,홍대삼거리,37.55024764,126.9232823
238,망원역,37.555829,126.910637
239,마포이마트,37.542421,126.953341
240,합정메세나몰,37.55005846963587,126.91355876250871
241,아현역대로,37.55716559459335,126.9549050409227
242,디지털미디어시티역,37.57614872684475,126.89894785452836
243,홍대역8번출구,37.556743503599,126.924166543608
244,합정푸르지오,37.55094290761422,126.9124826592047
245,홍대동교,37.5583280533329,126.926246501876
246,망원한강공원,37.55397484916793,126.89592784171348
247,마포구청역,37.5649569864623,126.902554646241
248,가재울뉴타운,37.57507214454173,126.91635993282007
249,남가좌사거리,37.577386,126.920815
250,신촌역,37.55625738,126.934653
251,아현역,37.558245014814666,126.95616914989028
252,홍제역,37.588658,126.943864
253,연세백양로,37.562874457,126.937440049
254,연희DT,37.5702143,126.9339777
255,경기대,37.56367995,126.9646045
256,신촌,37.55648577,126.9371155
257,이대,37.55848315,126.9459643
258,연세종합관,37.561468543,126.941119654
259,이대ECC,37.561631,126.94735
260,연대,37.558706,126.936727
261,충정로역,37.56137,126.963219
262,연대동문,37.56648507,126.9463253
263,신촌명물거리,37.557768434,126.938154503
264,충정타워,37.559869,126.96411
265,이대역,37.55702459539767,126.94630659955032
266,신촌로,37.55580883425132,126.93828627236182
267,북가좌DT,37.580758,126.911478
268,현대신촌,37.55592458080376,126.93569449086847
269,연희동,37.566702,126.930475
270,방배로,37.4793434,126.9994968
271,강남교보타워R,37.5037107773698,127.024335263404
272,방배다이치빌딩,37.484329,126.995872
273,센트럴F1,37.505148,127.004395
274,서초역이화빌딩,37.487931,127.009126
275,서초구청,37.484353839,127.030090489
276,서초우성사거리,37.493545,127.02943
277,이수역사거리,37.48585,126.983027
278,강남대로신사,37.51489,127.019469
279,서울고속터미널,37.5045697,127.0061603
280,방배,37.491914,126.99049739999998
281,방배카페거리,37.4934767,126.9865297
282,서초법원,37.492970,127.011875
283,청계산입구역,37.447323,127.056250
284,사당로데오,37.4772752,126.98216049999996
285,파미에파크R,37.5030521,127.004362
286,양재역,37.482379525,127.036853356
287,논현역,37.5114376142061,127.020548691552
288,이수역,37.4864664,126.98274029999993
289,내방역,37.490004,126.992455
290,서초파라곤,37.49494258899,127.027426341397
